year,Accident title,Date,Location,Coordinates,Cause,Deaths,Latitude,Longitude,Causetype
1919,Vigerslev Train Crash,"1, November, 1919","Vigerslev, Nordfyns Kommune, 5471, Danmark",55.66417;12.4775,missing info,40,55.66417,12.4775,Cause information missing
1920,Rosmalen Train Accident,"27, December, 1920","Rosmalen, 's-Hertogenbosch, Noord-Brabant, Nederland",51.7185792;5.3617341,ignoring signal,3,51.7185792,5.3617341,Signalling Error
1921,Abermule Train Collision,"26, January, 1921","Abermule, Montgomeryshire","Abermule, Montgomeryshire",singleline token error,17,,,Track/Rail Error
1923,Glenrock Train Wreck,"23, September, 1923","Glenrock, Converse County, Wyoming, 82637, United States",42.8614825;-105.8720412,cloudburst,30,42.8614825,-105.8720412,Environmental Cause
1923,Ongarue Railway Disaster,"6, July, 1923","419/North Island Main Trunk, Ongarue Back Road, Ongarue, Ruapehu District, Manawatū-Whanganui, 3997, New Zealand / Aotearoa",-38.7233471;175.2670684,struck landslip in which was embedded a large boulder,17,-38.7233471,175.2670684,Environmental Cause
1924,Lytham Rail Crash,"3, November, 1924","Lytham St Annes, Fylde, Lancashire, North West England, England, FY8 4AR, United Kingdom",53.7485046;-2.9990745,locomotive failure,15,53.7485046,-2.9990745,Technical Error
1925,Rockport Train Wreck,"16, June, 1925","Rockport, Mansfield Township, Warren County, New Jersey, United States",40.8237102;-74.8768348,debris on grade crossing,47,40.8237102,-74.8768348,Other
1926,Murulla Rail Accident,"13, September, 1926","Murulla, Upper Hunter Shire Council, New South Wales, 2337, Australia",-31.8318;150.9179,runaway vehicles from goods train,26,-31.8318,150.9179,Other
1926,Orgreave Rail Accident,"13, December, 1926","Orgreave Colliery, South Yorkshire","Orgreave Colliery, South Yorkshire",derailment fouled line,0,,,Derailment
1926,El Virilla Train Accident,"14, March, 1926",Virilla River Canyon,Virilla River Canyon,overloaded train ,248,,,Human Error
1927,Hull Paragon Rail Accident,"14, February, 1927","Hull Paragon Interchange, Ferensway, Old Town, Hull, Kingston upon Hull, Yorkshire and the Humber, England, HU1 3UT, United Kingdom",53.7441934;-0.3471288,signallers error,12,53.7441934,-0.3471288,Signalling Error
1927,Sevenoaks Railway Accident,"24, August, 1927","Sevenoaks Railway Station, London Road, Kippington, Sevenoaks, Kent, South East England, England, TN13 1DW, United Kingdom",51.27676955;0.1821269240493858,derailment of locomotive,13,51.27676955,0.1821269240493858,Technical Error
1928,Charfield Railway Disaster,"13, October, 1928","Charfield, Little Bristol Lane, Little Bristol, Charfield, South Gloucestershire, South West England, England, GL12 8, United Kingdom",51.6287;-2.4005,drivers error,16,51.6287,-2.4005,Human Error
1928,Darlington Rail Crash,"27, June, 1928","Darlington Station, Appleby Close, Bank Top, Darlington, North East England, England, DL1 4AG, United Kingdom",54.5178;-1.54677,drivers error,25,54.5178,-1.54677,Human Error
1928,Glasgow Queen Street Rail Accident,"12, October, 1928","Glasgow Queen Street, Cathedral Street, Merchant City, Glasgow, Glasgow City, Scotland, G1 2AQ, United Kingdom",55.8627889;-4.2510763,failure of signalman to comply with rules,3,55.8627889,-4.2510763,Signalling Error
1932,Turenne Rail Accident,"14, September, 1932","Avenue Tlemcen, Hay Safir, Tétouan تطوان, Pachalik de Tétouan باشوية تطوان, Province de Tétouan إقليم تطوان, Tanger-Tétouan-Al Hoceima ⵟⴰⵏⵊ-ⵟⵉⵜⴰⵡⵉⵏ-ⵍⵃⵓⵙⵉⵎⴰ طنجة تطوان الحسيمة, 93040, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب",35.583258;-5.3492499,undermined track,62,35.583258,-5.3492499,Track/Rail Error
1934,Winwick Rail Crash,"28, September, 1934","Cheshire Junction, Winwick Street, Howley, Warrington, North West England, England, WA2 7TT, United Kingdom",53.3929935;-2.5934014548157376,signalling error,11,53.3929935,-2.5934014548157376,Signalling Error
1935,Welwyn Garden City Rail Crashes,"15, June, 1935","Welwyn Garden City, Welwyn Hatfield, Hertfordshire, East of England, England, AL8 6TP, United Kingdom",51.8031083;-0.2068872,signalling error,14,51.8031083,-0.2068872,Signalling Error
1936,Rimutaka Incline Railway Accident,"11, September, 1936","Rimutaka Incline, Rimutaka Ranges","Rimutaka Incline, Rimutaka Ranges",extreme wind gusts,4,,,Environmental Cause
1936,Rimutaka Incline Railway Accident,"11, September, 1936","Rimutaka Incline, Rimutaka Ranges","Rimutaka Incline, Rimutaka Ranges",extreme wind gusts,4,,,Environmental Cause
1937,Dominguez Canyon Rail Crash,"26, April, 1937","Big Dominguez Creek - Dominguez Canyon, Mesa County, Colorado, 815XX, United States",38.6635218;-108.6244332,burnt out bridge,2,38.6635218,-108.6244332,Bridge Failure
1937,Battersea Park Rail Crash,"2, April, 1937","Battersea Park, Prince of Wales Drive, London Borough of Wandsworth, London, Greater London, England, SW11 8NE, United Kingdom",51.47761;-0.1475846,signallers error,10,51.47761,-0.1475846,Signalling Error
1937,Castlecary Rail Accidents,"10, December, 1937","Castlecary, North Lanarkshire, Scotland, G68 0JL, United Kingdom",55.9794877;-3.9473796,signalman error,35,55.9794877,-3.9473796,Signalling Error
1938,Custer Creek Train Wreck,"19, June, 1938","Saugus, Prairie County, Montana, United States",46.6909641;-105.4928223,cloudburst,47,46.6909641,-105.4928223,Environmental Cause
1939,City Of San Francisco Derailment,"12, August, 1939","Harney, Eureka County, Nevada, United States",40.5755261;-116.2981592,sabotage,24,40.5755261,-116.2981592,Other
1939,Genthin Rail Disaster,"22, December, 1939","Genthin, Landkreis Jerichow Ii, Regierungsbezirk Magdeburg, Province Of Saxony, Free State Of Prussia, Germany",52.4032306;12.1565222,signal passed at danger and signallers error,232,52.4032306,12.1565222,Signalling Error
1940,Norton Fitzwarren Rail Crash,"4, November, 1940","Norton Fitzwarren, Somerset West and Taunton, Somerset, South West England, England, United Kingdom",51.0266956;-3.1500972,signal passed at danger,27,51.0266956,-3.1500972,Signalling Error
1940,Doodlebug Disaster,"31, July, 1940","Cuyahoga Falls, Summit County, Ohio, United States",41.1461;-81.472867,failure to obey orders due to carbon monoxide poisoning,43,41.1461,-81.472867,Other
1940,Little Falls Gulf Curve Crash Of 1940,"19, April, 1940","Little Falls, City of Little Falls, Herkimer County, New York, 13365, United States",43.04162;-74.84866,excessive speed on sharp curve,31,43.04162,-74.84866,Excessive Speed
1941,Eccles Rail Crash,"30, December, 1941","Eccles Street, Milnshaw, Church, Hyndburn, Lancashire, North West England, England, BB5 1DW, United Kingdom",53.7585353;-2.3686464,signal passed at danger,23,53.7585353,-2.3686464,Signalling Error
1943,Frankford Junction Train Wreck,"6, September, 1943","Frankford Junction, Crescentville, Philadelphia, Philadelphia County, Pennsylvania, 19120, United States",40.0018;-75.1006,overheated journal box caused axle to break,79,40.0018,-75.1006,Technical Error
1943,Hyde Railway Disaster,"4, June, 1943","Hyde, Otago, South Island","Hyde, Otago, South Island",excessive speed,21,,,Excessive Speed
1943,Lackawanna Limited Wreck,"30, August, 1943","Wayland, Steuben County, New York, United States",42.5528;-77.5932,train on track without authority,29,42.5528,-77.5932,Track/Rail Error
1944,Ilford Rail Crash,"16, January, 1944","Ilford, London, Greater London, England, IG1 1DL, United Kingdom",51.5582734;0.0711669,signal passed at danger,9,51.5582734,0.0711669,Signalling Error
1944,Bagley Train Wreck,"31, December, 1944","Bagley, West Of Ogden, Utah",41.238577;-112.310196,signal passed at danger,50,41.238577,-112.310196,Signalling Error
1944,Balvano Train Disaster,"3, March, 1944","Balvano, Potenza, Basilicata, Italia",40.650315;15.514161,excessive weight,517,40.650315,15.514161,Human Error
1944,Soham Rail Disaster,"2, June, 1944","Soham, East Cambridgeshire, Cambridgeshire, East of England, England, United Kingdom",52.3333453;0.3387475,ammunition explosion,2,52.3333453,0.3387475,Other
1944,Stockton Train Wreck,"4, August, 1944","Stockton Pond, Burke County, Georgia, United States",33.1633364;-82.0359701,broken rail,47,33.1633364,-82.0359701,Track/Rail Error
1944,Torre Del Bierzo Rail Disaster,"3, January, 1944","Torre del Bierzo, El Bierzo, León, Castilla y León, España",42.5957668;-6.3242031,brake failure,89,42.5957668,-6.3242031,Brake Failure/Error
1945,Ballymacarrett Rail Crash,"10, January, 1945","Ballymacarrett Road, Short Strand, Ballymacarret, County Down, Northern Ireland, BT4 1GW, United Kingdom",54.6033395;-5.892709,excessive speed,22,54.6033395,-5.892709,Excessive Speed
1945,Bourne End Rail Crash,"30, September, 1945","Hemel Hempstead, Dacorum, Hertfordshire, East of England, England, HP1 1EW, United Kingdom",51.7511784;-0.472528,driver error,43,51.7511784,-0.472528,Human Error
1945,King'S Cross Railway Accident,"4, February, 1945","London King's Cross Railway Station, Euston Road, King's Cross, London Borough of Camden, London, Greater London, England, N1C 4AP, United Kingdom",51.53207235;-0.12360193113551035,mishandling of engine by driver,2,51.53207235,-0.12360193113551035,Human Error
1945,Michigan Train Wreck,"9, August, 1945","Michigan City, Nelson County, North Dakota, United States",48.0237653;-98.1235095,failure to protect lead train,34,48.0237653,-98.1235095,Other
1946,Aracaju Train Crash,"20, March, 1946","Aracaju, Região Geográfica Imediata de Aracaju, Região Geográfica Intermediária de Aracaju, Sergipe, Região Nordeste, Brasil",-10.9162061;-37.0774655,missing info,185,-10.9162061,-37.0774655,Cause information missing
1946,Lichfield Rail Crash,"1, January, 1946","Lichfield Trent Valley, Trent Valley Road, Boley Park, Lichfield, Staffordshire, West Midlands, England, WS13 6HE, United Kingdom",52.6869627;-1.8001308,points failure,20,52.6869627,-1.8001308,Other
1946,Naperville Train Disaster,"25, April, 1946","Naperville, DuPage County, Illinois, United States",41.77972;-88.14194,failure of second train to follow signal,45,41.77972,-88.14194,Signalling Error
1946,Potters Bar Rail Accidents,"10, May, 1946","Potters Bar, Hertsmere, Hertfordshire, East of England, England, EN6 2BD, United Kingdom",51.697;-0.194,derailment due to movement of points,7,51.697,-0.194,Derailment
1947,Doncaster Rail Crash,"9, August, 1947",Doncaster Railway Station Mi  N From London,Doncaster Railway Station Mi  N From London,signalmans error,18,,,Signalling Error
1947,Camp Mountain Rail Accident,"5, May, 1947","Camp Mountain, Moreton Bay Regional, Queensland, 4520, Australia",-27.3972;152.8956,excessive speed,16,-27.3972,152.8956,Excessive Speed
1947,Downers Grove Train Wreck,"3, April, 1947","Downers Grove, DuPage County, Illinois, 60515, United States",41.79556;-88.00889,obstruction on line,3,41.79556,-88.00889,Track/Rail Error
1947,Dugald Rail Accident,"1, September, 1947","Dugald, Springfield, Manitoba, R0E 1J2, Canada",49.8857175;-96.8428231,disregard of train orders,31,49.8857175,-96.8428231,Other
1947,Goswick Rail Crash,"26, October, 1947","Goswick, Ancroft, Northumberland, North East England, England, TD15 2RW, United Kingdom",55.705;-1.927,drivers error,28,55.705,-1.927,Human Error
1947,Hachikō Line Derailment,"25, February, 1947","埼玉県, 日本",35.9754168;139.4160114,excessive speed,184,35.9754168,139.4160114,Excessive Speed
1947,South Croydon Rail Crash,"24, October, 1947","Croydon Lane South, Banstead, Reigate and Banstead, Surrey, South East England, England, SM7 3AF, United Kingdom",51.3270093;-0.1928288,signalman error,32,51.3270093,-0.1928288,Signalling Error
1949,Matsukawa Derailment,"17, August, 1949","Between Kanayagawa And Matsukawa, Fukushima Prefecture","Between Kanayagawa And Matsukawa, Fukushima Prefecture",sabotage,3,,,Other
1950,Canoe River Train Crash,"21, November, 1950","South Of Valemount, British Columbia ",52.76333;-119.265,words omitted from order to troop train,21,52.76333,-119.265,Other
1950,Hjuksebø Train Collision,"15, November, 1950",Hjuksebø Station ,59.46861;9.33083,runaway freight wagons,14,59.46861,9.33083,Other
1950,Kew Gardens Train Crash,"22, November, 1950","Kew Gardens, Queens, Queens County, New York, 11415, United States",40.70472;-73.82583,signal passed at danger,78,40.70472,-73.82583,Signalling Error
1950,Rockville Centre Train Crash,"17, February, 1950","Rockville Centre, Town of Hempstead, Nassau County, New York, United States",40.65833;-73.65222,signal passed at danger,32,40.65833,-73.65222,Signalling Error
1951,Doncaster Rail Crash,"16, March, 1951",South Of Doncaster Railway Station,South Of Doncaster Railway Station,poor track maintenance,14,,,Technical Error
1951,Nova Iguaçu Level Crossing Disaster,"7, June, 1951","Nova Iguaçu, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 26210-171, Brasil",-22.7592175;-43.4508728,stalled vehicle,54,-22.7592175,-43.4508728,Other
1951,Piquet Carneiro Train Crash,"17, December, 1951","Piquet Carneiro, Região Geográfica Imediata de Iguatu, Região Geográfica Intermediária de Iguatu, Ceará, Região Nordeste, Brasil",-5.800251;-39.417017,excess speed,53,-5.800251,-39.417017,Excessive Speed
1951,Sakuragichō Train Fire,"24, April, 1951","桜木町駅, 野毛ちかみち, 桜木町二丁目, 中区, 横浜市, 神奈川県, 231-0017, 日本",35.451364;139.63070457503702,overhead wire maintenance error,106,35.451364,139.63070457503702,Technical Error
1951,Weedon Rail Crashes,"14, August, 1951","Weedon, High Street, Dodford, Weedon Bec, West Northamptonshire, East Midlands, England, NN7 4PQ, United Kingdom",52.22212;-1.06387,detached coupling rod,10,52.22212,-1.06387,Technical Error
1951,Weedon Rail Crashes,"14, August, 1951","Weedon, High Street, Dodford, Weedon Bec, West Northamptonshire, East Midlands, England, NN7 4PQ, United Kingdom",52.22212;-1.06387,detached coupling rod,10,52.22212,-1.06387,Technical Error
1951,Woodbridge Train Derailment,"6, February, 1951","Woodbridge, Woodbridge Township, Middlesex County, New Jersey, 07095, United States",40.55167;-74.27667,excessive speed,85,40.55167,-74.27667,Excessive Speed
1952,Anchieta Rail Disaster,"4, March, 1952","Anchieta, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil",-22.8231903;-43.3991069,broken rail,119,-22.8231903,-43.3991069,Track/Rail Error
1952,Gibalta Rail Accident,"31, March, 1952","Farol da Gibalta Barra do Sul Range, Passeio Marítimo Caxias - Cruz Quebrada, Centro Urbano Histórico da Cruz Quebrada, Cruz Quebrada, Oeiras e São Julião da Barra, Paço de Arcos e Caxias, Oeiras, Lisboa, 2760-064, Portugal",38.6991083;-9.2662706,missing info,10,38.6991083,-9.2662706,Cause information missing
1952,Harrow And Wealdstone Rail Crash,"8, October, 1952",Harrow And Wealdstone,Harrow And Wealdstone,signal passed at danger,112,,,Signalling Error
1953,Col Des Nuages Derailment,"24, June, 1953",Eastern French Indochina,Eastern French Indochina,bombing,100,,,Other
1953,Irk Valley Junction Rail Crash,"15, August, 1953","Manchester Victoria, Victoria Station Approach, City Centre, Manchester, Greater Manchester, North West England, England, M3 1NZ, United Kingdom",53.49833;-2.22611,signal passed at danger,10,53.49833,-2.22611,Signalling Error
1953,New York Central Railroad Accident,"27, March, 1953","Conneaut, Ashtabula County, Ohio, 44030, United States",41.954185;-80.525533,improperly secured load,21,41.954185,-80.525533,Human Error
1953,Pennsylvania Railroad Train Wreck,"15, January, 1953","Union Station, Union Station Drive Northeast, NoMa, Near Northeast, Washington, District of Columbia, 20403, United States",38.8988;-77.0061,braking failure,0,38.8988,-77.0061,Brake Failure/Error
1953,Šakvice Train Collision,"24, December, 1953","Šakvice, okres Břeclav, Jihomoravský kraj, Jihovýchod, 69167, Česko",48.91417;16.70139,missing info,103,48.91417,16.70139,Cause information missing
1953,Stratford Tube Crash,"8, April, 1953","Stratford Station, Essex","Stratford Station, Essex",driver error,12,,,Human Error
1953,Sydenham Rail Disaster,"19, December, 1953","Sydenham, Gleeson Avenue, Sydenham, Sydney, Inner West Council, Inner West, New South Wales, 2044, Australia",-33.9147428;151.1661069,wrongside failure,5,-33.9147428,151.1661069,Other
1953,Tangiwai Disaster,"24, December, 1953","Whangaehu River Bridge, Tangiwai, North Island",-39.46472;175.57667,bridge collapse due to lahar from mount ruapehu,151,-39.46472,175.57667,Bridge Failure
1953,Weesp Train Disaster,"13, September, 1953","Weesp, Noord-Holland, Nederland",52.30444305;5.0585343520066335,embankment collapse,41,52.30444305,5.0585343520066335,Other
1955,Barnes Rail Crash,"2, December, 1955","Barnes, Station Road, Barnes, London Borough of Richmond upon Thames, London, Greater London, England, SW13 0HT, United Kingdom",51.466783;-0.2411817,signalling error,13,51.466783,-0.2411817,Signalling Error
1955,Milton Rail Crash,"20, November, 1955","Milton, Santa Rosa County, Florida, 32572, United States",30.6324149;-87.0396881,drivers error,11,30.6324149,-87.0396881,Human Error
1955,San Bernardo Train Crash,"17, July, 1955","San Bernardo, Rio Mayo, Nariño, Colombia",1.533534;-77.01845480416105,signal passed at danger,38,1.533534,-77.01845480416105,Signalling Error
1955,Sutton Coldfield Rail Crash,"23, January, 1955","Sutton Coldfield Bypass, Sutton Coldfield, Birmingham, West Midlands Combined Authority, West Midlands, England, B75 7HR, United Kingdom",52.56528;-1.82444,overspeed on curve,17,52.56528,-1.82444,Excessive Speed
1956,Redondo Junction Train Wreck,"22, January, 1956","Los Angeles, Los Angeles County, California, United States",34.0536909;-118.242766,excessive speed,30,34.0536909,-118.242766,Excessive Speed
1956,Rokken Rail Accident,"15, October, 1956","六軒, 白山小津線, 嬉野津屋城町, 松阪市, 三重県, 515-8515, 日本",34.6174497;136.5074786,signal error,42,34.6174497,136.5074786,Signalling Error
1956,Santiago Rail Crash,"14, February, 1956","Santiago, Cantón Paraíso, Provincia Cartago, 30202, Costa Rica",9.8694792;-83.7980749,signal passed at danger,23,9.8694792,-83.7980749,Signalling Error
1957,Gambar Train Crash,"29, September, 1957","Gambar Railway Station, Pakistan",30.75;73.3315,lack of signalsallowing two trains into same occupied block section,300,30.75,73.3315,Signalling Error
1957,Codogno Rail Crash,"9, December, 1957","Codogno, Lodi, Lombardia, 26845, Italia",45.1600664;9.70437,missing info,15,45.1600664,9.70437,Cause information missing
1957,Lewisham Rail Crash,"4, December, 1957","St. Johns, Apache County, Arizona, United States",51.467583;-0.01925,signal passed at danger,90,51.467583,-0.01925,Signalling Error
1957,Welwyn Garden City Rail Crashes,"15, June, 1957","Welwyn Garden City, Welwyn Hatfield, Hertfordshire, East of England, England, AL8 6TP, United Kingdom",51.8031083;-0.2068872,signalling error,14,51.8031083,-0.2068872,Signalling Error
1957,Yarımburgaz Train Disaster,"20, October, 1957","Yarımburgaz, Küçükçe","Yarımburgaz, Küçükçe",allowing two trains into same occupied block section by signalmen,95,,,Signalling Error
1958,Newark Bay Rail Accident,"15, September, 1958","Newark Bay, Bayonne, New Jersey, U.S.",40.6545;-74.15,signal passed at danger,48,40.6545,-74.15,Signalling Error
1958,Dagenham East Rail Crash,"30, January, 1958","Dagenham East, York Close, Dagenham, London Borough of Barking and Dagenham, London, Greater London, England, RM10 8AJ, United Kingdom",51.544018;0.1649496,drivers error,10,51.544018,0.1649496,Human Error
1958,Eastbourne Rail Crash,"25, August, 1958","Eastbourne, East Sussex, South East England, England, United Kingdom",50.7703;0.2831,drivers error,5,50.7703,0.2831,Human Error
1958,Rio De Janeiro Train Crash,"8, May, 1958","Mangueira, São Gonçalo, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 24435-410, Brasil",-22.830895;-43.0699683,signalling error,128,-22.830895,-43.0699683,Signalling Error
1960,Settle Rail Crash,"21, January, 1960","Settle, Craven, North Yorkshire, Yorkshire and the Humber, England, United Kingdom",54.0694739;-2.276127,disconnected connecting rod assembly,5,54.0694739,-2.276127,Other
1960,Stéblová Train Disaster,"14, November, 1960","Stéblová, okres Pardubice, Pardubický kraj, Severovýchod, Česko",50.08917;15.75083,missing info,118,50.08917,15.75083,Cause information missing
1960,Woerden Train Disaster,"21, November, 1960","Woerden, Utrecht, Nederland",52.08701595;4.876687198673499,ignoring temporary speed limit,2,52.08701595,4.876687198673499,Excessive Speed
1961,Fiumarella Rail Disaster,"23, December, 1961",Fiumarella Viaduct,Fiumarella Viaduct,derailment and rupture of the coupling,71,,,Derailment
1961,Singleton Bank Rail Crash,"16, July, 1961","Weeton, Fylde, Lancashire, North West England, England, PR4 3PB, United Kingdom",53.8061151;-2.9337366,signaller error,7,53.8061151,-2.9337366,Signalling Error
1962,Castel Bolognese Train Disaster,"8, March, 1962","Castel Bolognese-Riolo Terme, Via Santa Croce, Castel Bolognese, Unione della Romagna Faentina, Ravenna, Emilia-Romagna, 48014, Italia",44.3254471;11.8040557,speeding through construction zone,13,44.3254471,11.8040557,Excessive Speed
1962,Coppenhall Junction Railway Accident,"26, December, 1962","Coppenhall, Crewe, Cheshire East, North West England, England, CW1 3TG, United Kingdom",53.1684;-2.4778,signal passed at danger,18,53.1684,-2.4778,Signalling Error
1962,Coppenhall Junction Railway Accident,"26, December, 1962","Coppenhall, Crewe, Cheshire East, North West England, England, CW1 3TG, United Kingdom",53.1684;-2.4778,signal passed at danger,18,53.1684,-2.4778,Signalling Error
1962,Harmelen Train Disaster,"8, January, 1962","Harmelen, Woerden, Utrecht, Nederland",52.10472;4.95639,signal passed at danger,93,52.10472,4.95639,Signalling Error
1962,Lincoln Rail Crash,"3, June, 1962","Lincoln Central, St Mary's Street, New Boultham, Bracebridge, Lincoln, Lincolnshire, East Midlands, England, LN5 7EW, United Kingdom",53.2247;-0.5347,overspeed on curve,3,53.2247,-0.5347,Excessive Speed
1962,Mikawashima Train Crash,"3, May, 1962","三河島, 尾竹橋通り, 荒川三丁目, 荒川区, 東京都, 116-0002, 日本",35.7333412;139.7774122,signal passed at danger,160,35.7333412,139.7774122,Signalling Error
1962,Villa Soldati Level Crossing Tragedy,"11, June, 1962","Villa Soldati, Buenos Aires, Distrito del Deporte, Comuna 8, Ciudad Autónoma de Buenos Aires, Argentina",-34.6662898;-58.4459552,crossing operator error,42,-34.6662898,-58.4459552,Human Error
1962,Voghera Train Crash,"31, May, 1962","Voghera, Piazzale Guglielmo Marconi, Voghera, Pavia, Lombardia, 27058, Italia",44.9978657;9.0087221,missing info,64,44.9978657,9.0087221,Cause information missing
1963,Chualar Bus Crash,"17, September, 1963","Chualar, California, U.S.",36.5539556;-121.5029,bus driver negligence,32,36.5539556,-121.5029,Human Error
1963,Knowle And Dorridge Rail Crash,"15, August, 1963","Knowle And Dorridge Station, West Midlands","Knowle And Dorridge Station, West Midlands",signallers error,3,,,Signalling Error
1963,Tsurumi Rail Accident,"9, November, 1963","横浜市, 神奈川県, 231-0017, 日本",35.444991;139.636768,track problems,162,35.444991,139.636768,Track/Rail Error
1964,Altamirano Rail Disaster,"1, February, 1964","Altamirano, Chiapas, México",16.66758885;-91.87675364782305,points failure,34,16.66758885,-91.87675364782305,Other
1965,Coton Hill Rail Crash,"11, January, 1965","Coton Hill, Shrewsbury, Shropshire, West Midlands, England, SY1 2NH, United Kingdom",52.7203042;-2.7595375,overspeed on incline,1,52.7203042,-2.7595375,Excessive Speed
1965,Winsford Railway Accident,"5, June, 1965","Winsford Railway Station, Station Road, Nun House, Wharton, Clive, Winsford, Cheshire West and Chester, North West England, England, CW7 3NF, United Kingdom",53.1904492;-2.4945071277372275,missing info,1,53.1904492,-2.4945071277372275,Cause information missing
1966,Dorion Level Crossing Accident,"7, October, 1966","Dorion, 60, Rue de l'Église, Dorion, Vaudreuil-Dorion, Vaudreuil-Soulanges, Montérégie, Québec, J7V 1T1, Canada",45.3863926;-74.0084813,missing info,19,45.3863926,-74.0084813,Cause information missing
1967,Thirsk Rail Crash,"31, July, 1967","Thirsk, Hambleton, North Yorkshire, Yorkshire and the Humber, England, United Kingdom",54.2327725;-1.3423775,rolling stock failure,7,54.2327725,-1.3423775,Other
1967,Connington South Rail Crash,"5, March, 1967","Conington, Huntingdonshire, Cambridgeshire, East of England, England, United Kingdom",52.4603927;-0.2687146,signalling error ,5,52.4603927,-0.2687146,Signalling Error
1967,Hither Green Rail Crash,"5, November, 1967","Hither Green Traction Maintenance Depot, Milborough Crescent, Redbrick Estate, Hither Green, London Borough of Lewisham, London, Greater London, England, SE12 0RW, United Kingdom",51.44924745;0.003114366299518394,broken rail,49,51.44924745,0.003114366299518394,Track/Rail Error
1967,Langenweddingen Level Crossing Disaster,"6, July, 1967","Magdeburg, Sachsen-Anhalt, Deutschland",52.1315889;11.6399609,gate left open,94,52.1315889,11.6399609,Other
1967,Stechford Rail Crash,"28, February, 1967","Stechford, Victoria Road, Stechford, Birmingham, West Midlands Combined Authority, West Midlands, England, B33 8AJ, United Kingdom",52.4851563;-1.8110345,shunting error,9,52.4851563,-1.8110345,Other
1968,Castlecary Rail Accidents,"10, December, 1968","Castlecary, North Lanarkshire, Scotland, G68 0JL, United Kingdom",55.9794877;-3.9473796,signalman error,35,55.9794877,-3.9473796,Signalling Error
1969,Marden Rail Crash,"4, January, 1969",Between Paddock Wood And Marden Railway Stations,51.17778;0.46583,driver error ,4,51.17778,0.46583,Human Error
1969,Rail Accidents At Morpeth,"25, March, 1969","Morpeth, Northumberland, North East England, England, United Kingdom",55.1675437;-1.6907444,defective track,5,55.1675437,-1.6907444,Track/Rail Error
1969,Violet Town Rail Accident,"7, February, 1969","Violet Town, Shire of Strathbogie, Victoria, 3669, Australia",-36.6370888;145.7179789,driver heart attack,9,-36.6370888,145.7179789,Human Error
1970,Audenshaw Junction Rail Accident,"20, May, 1970","Audenshaw Road, Guide Bridge, Audenshaw, Tameside, Greater Manchester, North West England, England, M34 5TP, United Kingdom",53.4753633;-2.1180881,signaller error,2,53.4753633,-2.1180881,Signalling Error
1970,Benavídez Rail Disaster,"1, February, 1970","Benavídez, Partido de Tigre, Buenos Aires, Argentina",-34.4115721;-58.6899278,failure to protect stopped train,236,-34.4115721,-58.6899278,Other
1970,Lehigh Valley Railroad Derailment,"6, December, 1970","Le Roy, Genesee County, New York, 14482, United States",42.992249;-77.9333,missing info,Unknows number of deaths,42.992249,-77.9333,Cause information missing
1971,Dahlerau Train Disaster,"27, May, 1971","Dahlerau, Radevormwald, Oberbergischer Kreis, Nordrhein-Westfalen, 42399, Deutschland",51.2216264;7.3102694,not determined,46,51.2216264,7.3102694,Other
1971,Gualliguaica Rail Accident,"11, March, 1971","Rivadavia - Pisco Elqui - Alcohuaz, Tres Cruces, Vicuña, Provincia de Elqui, Región de Coquimbo, Chile",-29.9926015;-70.5320761,missing info,12,-29.9926015,-70.5320761,Cause information missing
1971,"Salem, Illinois, Derailment","10, June, 1971","Salem, Marion County, Illinois, 62881, United States",38.665431;-88.977421,mechanical problem,11,38.665431,-88.977421,Other
1972,Chester General Rail Crash,"8, May, 1972","Chester Railway Station, Station Road, Newtown, City of Chester, Chester, Cheshire West and Chester, North West England, England, CH1 3NS, United Kingdom",53.19639;-2.87825,failure to connect vacuum brake pipes to the locomotive,0,53.19639,-2.87825,Technical Error
1972,Chicago Commuter Rail Crash,"30, October, 1972","Chicago, Cook County, Illinois, United States",41.8755616;-87.6244212,train backed into signal block,45,41.8755616,-87.6244212,Signalling Error
1972,Eltham Well Hall Rail Crash,"11, June, 1972","Eltham Well Hall, Rochester Way Relief Road, Well Hall, Royal Borough of Greenwich, London, Greater London, England, SE9 6ER, United Kingdom",51.4552833;0.0500053,driver was intoxicated,6,51.4552833,0.0500053,Human Error
1972,"Gilchrest Road, New York Crossing Accident","24, March, 1972","Town of Clarkstown, Rockland County, New York, United States",41.1338;-73.9452,bus drivers failure to yield at a grade crossing,5,41.1338,-73.9452,Human Error
1973,Ealing Rail Crash,"19, December, 1973","Ealing, London, Greater London, England, W5 5DG, United Kingdom",51.5126553;-0.3051952,unlocked battery box,10,51.5126553,-0.3051952,Other
1974,Magude Train Disaster,"27, March, 1974","Magude, Maputo, Moçambique",-25.02306;32.64806,excessive speed,70,-25.02306,32.64806,Excessive Speed
